,customer_id,offer_id,offer_received,offer_viewed,offer_completed,time_received,time_viewed,time_completed,offer_duration
1,1,3,1.0,0.0,0.0,504,0,0,96
2,1,4,1.0,0.0,1.0,408,0,528,168
4,3,1,1.0,1.0,1.0,408,408,510,168
5,3,4,1.0,1.0,1.0,0,6,132,168
6,3,8,1.0,1.0,0.0,168,216,0,72
7,3,9,1.0,1.0,1.0,504,582,510,120
9,5,3,1.0,0.0,0.0,336,0,0,96
10,5,4,1.0,1.0,1.0,408,420,522,168
11,5,7,1.0,1.0,1.0,504,522,522,240
12,5,10,1.0,1.0,0.0,0,18,0,168
14,8,4,2.0,2.0,1.0,168,192,498,168
15,8,7,1.0,1.0,1.0,576,588,600,240
16,8,9,2.0,2.0,2.0,0,0,60,120
17,8,10,1.0,1.0,1.0,336,354,498,168
19,12,3,1.0,0.0,0.0,0,0,0,96
20,12,6,1.0,1.0,0.0,168,168,0,168
21,12,7,1.0,1.0,1.0,336,348,456,240
23,13,1,1.0,1.0,1.0,408,432,426,168
24,13,2,1.0,1.0,1.0,168,168,210,120
25,13,5,1.0,1.0,0.0,0,18,0,240
26,13,8,1.0,1.0,0.0,336,336,0,72
27,13,9,1.0,1.0,1.0,576,612,630,120
29,14,1,1.0,1.0,0.0,408,414,0,168
30,14,5,3.0,0.0,1.0,0,0,456,240
31,14,10,2.0,0.0,0.0,168,0,0,168
33,15,5,1.0,1.0,0.0,0,150,0,240
34,15,6,3.0,2.0,3.0,336,336,384,168
35,15,7,2.0,2.0,1.0,168,168,258,240
37,16,1,1.0,1.0,1.0,408,414,486,168
38,16,5,1.0,0.0,0.0,0,0,0,240
39,16,8,1.0,1.0,0.0,504,504,0,72
41,18,3,1.0,0.0,0.0,576,0,0,96
42,18,4,2.0,0.0,1.0,336,0,516,168
43,18,5,1.0,0.0,0.0,168,0,0,240
44,18,6,1.0,1.0,1.0,408,408,528,168
46,19,1,1.0,1.0,0.0,408,438,0,168
47,19,4,1.0,0.0,0.0,0,0,0,168
48,19,8,1.0,1.0,0.0,576,618,0,72
50,20,5,1.0,1.0,1.0,504,540,510,240
51,20,6,3.0,3.0,3.0,0,60,78,168
52,20,10,1.0,0.0,1.0,576,0,600,168
54,21,1,2.0,2.0,1.0,0,102,510,168
55,21,3,1.0,1.0,0.0,408,468,0,96
56,21,5,2.0,1.0,2.0,168,174,180,240
58,22,2,1.0,1.0,0.0,504,564,0,120
59,22,3,2.0,2.0,0.0,0,18,0,96
60,22,7,1.0,1.0,1.0,408,408,414,240
61,22,8,2.0,2.0,0.0,168,192,0,72
63,24,2,1.0,1.0,1.0,168,168,210,120
64,24,3,1.0,1.0,0.0,576,600,0,96
65,24,7,2.0,2.0,2.0,0,18,126,240
67,25,2,1.0,1.0,1.0,408,408,414,120
68,25,4,2.0,2.0,0.0,504,522,0,168
69,25,5,2.0,2.0,2.0,0,30,192,240
70,25,10,1.0,1.0,1.0,168,180,192,168
72,27,4,1.0,0.0,0.0,576,0,0,168
73,27,5,1.0,0.0,0.0,408,0,0,240
74,27,6,1.0,1.0,0.0,504,522,0,168
75,27,7,1.0,1.0,1.0,168,168,300,240
76,27,10,2.0,1.0,0.0,0,378,0,168
78,28,2,1.0,1.0,0.0,408,432,0,120
79,28,3,1.0,0.0,0.0,168,0,0,96
80,28,5,2.0,0.0,0.0,336,0,0,240
82,29,4,2.0,1.0,0.0,0,714,0,168
83,29,7,1.0,1.0,1.0,168,300,300,240
84,29,8,2.0,2.0,0.0,336,342,0,72
85,29,10,1.0,1.0,1.0,408,420,432,168
87,30,1,1.0,0.0,1.0,504,0,522,168
88,30,6,2.0,2.0,2.0,408,438,486,168
89,30,9,1.0,1.0,1.0,168,186,276,120
91,31,2,2.0,2.0,0.0,168,168,0,120
92,31,4,1.0,0.0,0.0,576,0,0,168
93,31,8,1.0,1.0,0.0,0,0,0,72
94,31,10,1.0,0.0,1.0,336,0,390,168
96,32,1,1.0,1.0,0.0,0,96,0,168
97,32,2,2.0,2.0,2.0,168,174,198,120
98,32,3,1.0,1.0,0.0,504,534,0,96
99,32,5,1.0,1.0,1.0,576,576,600,240
100,32,6,1.0,1.0,1.0,408,414,414,168
102,33,4,1.0,0.0,1.0,408,0,468,168
103,33,6,1.0,0.0,1.0,576,0,612,168
104,33,8,1.0,1.0,0.0,336,348,0,72
105,33,9,1.0,1.0,1.0,504,534,612,120
106,33,10,1.0,0.0,1.0,0,0,132,168
108,34,1,1.0,1.0,0.0,336,336,0,168
109,34,4,3.0,1.0,1.0,0,48,12,168
110,34,8,1.0,1.0,0.0,168,228,0,72
111,34,9,1.0,1.0,0.0,408,426,0,120
113,35,1,1.0,1.0,1.0,576,582,588,168
114,35,2,1.0,1.0,1.0,0,0,6,120
115,35,3,1.0,1.0,0.0,168,180,0,96
116,35,4,2.0,2.0,2.0,336,336,348,168
117,35,8,1.0,1.0,0.0,408,486,0,72
119,37,5,1.0,1.0,1.0,504,510,654,240
120,37,7,1.0,1.0,1.0,336,390,342,240
121,37,8,1.0,0.0,0.0,408,0,0,72
123,38,6,1.0,1.0,1.0,0,42,114,168
124,38,7,1.0,1.0,1.0,408,420,486,240
125,38,8,1.0,1.0,0.0,336,348,0,72
127,40,6,1.0,1.0,1.0,336,342,396,168
128,40,9,1.0,1.0,1.0,0,66,66,120
129,40,10,2.0,1.0,2.0,168,264,312,168
131,41,1,1.0,1.0,0.0,0,0,0,168
132,41,5,1.0,0.0,0.0,408,0,0,240
134,42,2,2.0,2.0,1.0,408,444,498,120
135,42,3,1.0,1.0,0.0,504,522,0,96
136,42,4,1.0,1.0,1.0,0,30,66,168
137,42,6,1.0,1.0,1.0,336,354,474,168
139,43,2,1.0,1.0,1.0,336,372,354,120
140,43,4,1.0,1.0,1.0,576,618,576,168
141,43,6,1.0,1.0,1.0,504,528,558,168
142,43,9,1.0,1.0,0.0,408,414,0,120
143,43,10,1.0,0.0,1.0,0,0,168,168
145,46,1,2.0,2.0,0.0,168,216,0,168
146,46,4,1.0,0.0,0.0,408,0,0,168
147,46,5,1.0,0.0,1.0,504,0,690,240
148,46,6,1.0,1.0,0.0,336,336,0,168
150,47,2,1.0,1.0,1.0,336,336,342,120
151,47,3,1.0,1.0,0.0,408,468,0,96
152,47,4,1.0,0.0,0.0,0,0,0,168
153,47,7,1.0,1.0,1.0,576,582,582,240
154,47,8,1.0,1.0,0.0,168,288,0,72
155,47,9,1.0,1.0,1.0,504,522,522,120
157,48,2,1.0,1.0,0.0,336,354,0,120
158,48,3,1.0,0.0,0.0,504,0,0,96
159,48,5,1.0,0.0,0.0,576,0,0,240
160,48,8,1.0,1.0,0.0,0,0,0,72
161,48,9,1.0,1.0,1.0,168,216,216,120
163,49,1,1.0,1.0,0.0,576,612,0,168
164,49,4,1.0,0.0,1.0,168,0,252,168
165,49,6,1.0,1.0,1.0,336,348,450,168
166,49,10,1.0,0.0,1.0,504,0,624,168
168,50,1,1.0,1.0,1.0,504,522,624,168
169,50,4,1.0,1.0,0.0,0,18,0,168
170,50,10,2.0,0.0,1.0,336,0,624,168
172,51,1,1.0,1.0,0.0,408,408,0,168
173,51,2,1.0,1.0,0.0,0,6,0,120
174,51,4,1.0,1.0,1.0,576,588,594,168
175,51,8,1.0,1.0,0.0,336,336,0,72
177,52,5,2.0,0.0,2.0,336,0,528,240
178,52,6,1.0,1.0,1.0,504,594,552,168
180,53,4,2.0,1.0,1.0,168,180,270,168
181,53,6,1.0,1.0,1.0,408,408,462,168
182,53,8,1.0,1.0,0.0,336,336,0,72
183,53,10,1.0,0.0,1.0,504,0,564,168
185,55,2,1.0,1.0,1.0,504,516,540,120
186,55,5,1.0,1.0,1.0,408,462,474,240
187,55,6,1.0,1.0,1.0,336,342,354,168
188,55,10,1.0,1.0,1.0,0,0,0,168
190,58,1,1.0,1.0,1.0,0,150,126,168
191,58,2,1.0,1.0,1.0,408,420,492,120
192,58,5,1.0,1.0,1.0,168,168,222,240
193,58,7,1.0,1.0,1.0,504,504,606,240
194,58,9,1.0,1.0,1.0,576,576,606,120
196,59,1,1.0,1.0,0.0,408,426,0,168
197,59,3,1.0,0.0,0.0,336,0,0,96
198,59,5,1.0,0.0,0.0,168,0,0,240
199,59,7,1.0,1.0,0.0,504,570,0,240
201,60,5,1.0,0.0,1.0,168,0,354,240
202,60,7,1.0,1.0,0.0,576,594,0,240
203,60,8,1.0,1.0,0.0,336,342,0,72
204,60,10,1.0,0.0,0.0,408,0,0,168
206,61,6,2.0,2.0,2.0,408,432,474,168
207,61,7,1.0,1.0,1.0,576,636,576,240
208,61,9,1.0,1.0,1.0,0,24,36,120
210,62,1,1.0,1.0,1.0,504,540,648,168
211,62,7,1.0,1.0,1.0,168,174,270,240
212,62,10,1.0,1.0,1.0,0,12,24,168
