,offer_id,age,income,M,F,O,send_offer
1,3,55,112000,0,1,0,0
2,4,55,112000,0,1,0,0
4,1,75,100000,0,1,0,1
5,4,75,100000,0,1,0,1
6,8,75,100000,0,1,0,0
7,9,75,100000,0,1,0,0
9,3,68,70000,1,0,0,0
10,4,68,70000,1,0,0,1
11,7,68,70000,1,0,0,1
12,10,68,70000,1,0,0,0
14,4,65,53000,1,0,0,0
15,7,65,53000,1,0,0,1
16,9,65,53000,1,0,0,1
17,10,65,53000,1,0,0,1
19,3,58,51000,1,0,0,0
20,6,58,51000,1,0,0,0
21,7,58,51000,1,0,0,1
23,1,61,57000,0,1,0,0
24,2,61,57000,0,1,0,1
25,5,61,57000,0,1,0,0
26,8,61,57000,0,1,0,0
27,9,61,57000,0,1,0,1
29,1,26,46000,1,0,0,0
30,5,26,46000,1,0,0,0
31,10,26,46000,1,0,0,0
33,5,62,71000,0,1,0,0
34,6,62,71000,0,1,0,0
35,7,62,71000,0,1,0,0
37,1,49,52000,1,0,0,1
38,5,49,52000,1,0,0,0
39,8,49,52000,1,0,0,0
41,3,57,42000,1,0,0,0
42,4,57,42000,1,0,0,0
43,5,57,42000,1,0,0,0
44,6,57,42000,1,0,0,1
46,1,61,40000,0,1,0,0
47,4,61,40000,0,1,0,0
48,8,61,40000,0,1,0,0
50,5,40,71000,0,1,0,0
51,6,40,71000,0,1,0,1
52,10,40,71000,0,1,0,0
54,1,64,100000,1,0,0,0
55,3,64,100000,1,0,0,0
56,5,64,100000,1,0,0,0
58,2,78,71000,0,1,0,0
59,3,78,71000,0,1,0,0
60,7,78,71000,0,1,0,1
61,8,78,71000,0,1,0,0
63,2,42,69000,1,0,0,1
64,3,42,69000,1,0,0,0
65,7,42,69000,1,0,0,1
67,2,56,88000,0,1,0,1
68,4,56,88000,0,1,0,0
69,5,56,88000,0,1,0,1
70,10,56,88000,0,1,0,1
72,4,33,52000,0,1,0,0
73,5,33,52000,0,1,0,0
74,6,33,52000,0,1,0,0
75,7,33,52000,0,1,0,1
76,10,33,52000,0,1,0,0
78,2,46,59000,0,1,0,0
79,3,46,59000,0,1,0,0
80,5,46,59000,0,1,0,0
82,4,59,41000,1,0,0,0
83,7,59,41000,1,0,0,1
84,8,59,41000,1,0,0,0
85,10,59,41000,1,0,0,1
87,1,67,96000,1,0,0,0
88,6,67,96000,1,0,0,1
89,9,67,96000,1,0,0,1
91,2,53,52000,0,0,1,0
92,4,53,52000,0,0,1,0
93,8,53,52000,0,0,1,0
94,10,53,52000,0,0,1,0
96,1,22,70000,1,0,0,0
97,2,22,70000,1,0,0,1
98,3,22,70000,1,0,0,0
99,5,22,70000,1,0,0,1
100,6,22,70000,1,0,0,1
102,4,96,89000,0,1,0,0
103,6,96,89000,0,1,0,0
104,8,96,89000,0,1,0,0
105,9,96,89000,0,1,0,1
106,10,96,89000,0,1,0,0
108,1,40,33000,1,0,0,0
109,4,40,33000,1,0,0,0
110,8,40,33000,1,0,0,0
111,9,40,33000,1,0,0,0
113,1,69,57000,0,1,0,1
114,2,69,57000,0,1,0,1
115,3,69,57000,0,1,0,0
116,4,69,57000,0,1,0,1
