customer_id,offer_id,offer_received,offer_viewed,offer_completed,transaction,time,spent,offer_duration
1,0,0,0,0,3,690,77.01,0
1,3,1,0,0,0,504,0.0,96
1,4,1,0,1,0,936,5.0,336
3,0,0,0,0,7,2160,159.27,0
3,1,1,1,1,0,1326,10.0,504
3,4,1,1,1,0,138,5.0,504
3,8,1,1,0,0,384,0.0,144
3,9,1,1,1,0,1596,5.0,360
5,0,0,0,0,3,1104,57.730000000000004,0
5,3,1,0,0,0,336,0.0,96
5,4,1,1,1,0,1350,5.0,504
5,7,1,1,1,0,1548,2.0,720
5,10,1,1,0,0,18,0.0,336
8,0,0,0,0,3,1158,36.43,0
8,4,2,2,1,0,1704,5.0,840
8,7,1,1,1,0,1764,2.0,720
8,9,2,2,2,0,1668,10.0,720
8,10,1,1,1,0,1188,2.0,504
12,0,0,0,0,4,1620,15.62,0
12,3,1,0,0,0,0,0.0,96
12,6,1,1,0,0,336,0.0,336
12,7,1,1,1,0,1140,2.0,720
13,0,0,0,0,6,2736,85.55,0
13,1,1,1,1,0,1266,10.0,504
13,2,1,1,1,0,546,10.0,360
13,5,1,1,0,0,18,0.0,480
13,8,1,1,0,0,672,0.0,144
13,9,1,1,1,0,1818,5.0,360
14,0,0,0,0,11,4158,56.22,0
14,1,1,1,0,0,822,0.0,336
14,5,3,0,1,0,1296,5.0,960
14,10,2,0,0,0,744,0.0,336
15,0,0,0,0,8,3180,160.25,0
15,5,1,1,0,0,150,0.0,480
15,6,3,2,3,0,3354,9.0,1344
15,7,2,2,1,0,1752,2.0,1200
16,0,0,0,0,9,3864,144.11000000000004,0
16,1,1,1,1,0,1308,10.0,504
16,5,1,0,0,0,0,0.0,240
16,8,1,1,0,0,1008,0.0,144
18,0,0,0,0,6,2634,19.099999999999998,0
18,3,1,0,0,0,576,0.0,96
18,4,2,0,1,0,1356,5.0,504
18,5,1,0,0,0,168,0.0,240
18,6,1,1,1,0,1344,3.0,504
19,0,0,0,0,7,2478,20.78,0
19,1,1,1,0,0,846,0.0,336
19,4,1,0,0,0,0,0.0,168
19,8,1,1,0,0,1194,0.0,144
20,0,0,0,0,16,7254,300.68,0
20,5,1,1,1,0,1554,5.0,720
20,6,3,3,3,0,1974,9.0,1512
20,10,1,0,1,0,1176,2.0,336
21,0,0,0,0,7,2640,211.29000000000002,0
21,1,2,2,1,0,1626,10.0,840
21,3,1,1,0,0,876,0.0,192
21,5,2,1,2,0,1338,10.0,1200
22,0,0,0,0,8,2154,155.45999999999998,0
22,2,1,1,0,0,1068,0.0,240
22,3,2,2,0,0,702,0.0,384
22,7,1,1,1,0,1230,2.0,720
22,8,2,2,0,0,1554,0.0,288
24,0,0,0,0,5,1680,91.4,0
24,2,1,1,1,0,546,10.0,360
24,3,1,1,0,0,1176,0.0,192
24,7,2,2,2,0,1422,4.0,1440
25,0,0,0,0,3,768,75.62,0
25,2,1,1,1,0,1230,10.0,360
25,4,2,2,0,0,2208,0.0,672
25,5,2,2,2,0,1332,10.0,1440
25,10,1,1,1,0,540,2.0,504
27,0,0,0,0,9,4014,17.9,0
27,4,1,0,0,0,576,0.0,168
27,5,1,0,0,0,408,0.0,240
27,6,1,1,0,0,1026,0.0,336
27,7,1,1,1,0,636,2.0,720
27,10,2,1,0,0,714,0.0,504
28,0,0,0,0,1,492,2.88,0
28,2,1,1,0,0,840,0.0,240
28,3,1,0,0,0,168,0.0,96
28,5,2,0,0,0,840,0.0,480
29,0,0,0,0,13,4932,52.08,0
29,4,2,1,0,0,1290,0.0,504
29,7,1,1,1,0,768,2.0,720
29,8,2,2,0,0,1728,0.0,288
29,10,1,1,1,0,1260,2.0,504
30,0,0,0,0,8,3948,206.88,0
30,1,1,0,1,0,1026,10.0,336
30,6,2,2,2,0,3150,6.0,1008
30,9,1,1,1,0,630,5.0,360
31,0,0,0,0,5,1266,18.740000000000002,0
31,2,2,2,0,0,1398,0.0,480
31,4,1,0,0,0,576,0.0,168
31,8,1,1,0,0,0,0.0,144
31,10,1,0,1,0,726,2.0,336
32,0,0,0,0,6,2292,106.38,0
32,1,1,1,0,0,96,0.0,336
32,2,2,2,2,0,1644,20.0,720
32,3,1,1,0,0,1038,0.0,192
32,5,1,1,1,0,1752,5.0,720
32,6,1,1,1,0,1236,3.0,504
33,0,0,0,0,4,1494,81.92,0
33,4,1,0,1,0,876,5.0,336
33,6,1,0,1,0,1188,3.0,336
33,8,1,1,0,0,684,0.0,144
33,9,1,1,1,0,1650,5.0,360
33,10,1,0,1,0,132,2.0,336
34,0,0,0,0,14,3594,40.94,0
34,1,1,1,0,0,672,0.0,336
34,4,3,1,1,0,1140,5.0,840
34,8,1,1,0,0,396,0.0,144
34,9,1,1,0,0,834,0.0,240
35,0,0,0,0,14,4794,213.49,0
35,1,1,1,1,0,1746,10.0,504
35,2,1,1,1,0,6,10.0,360
35,3,1,1,0,0,348,0.0,192
35,4,2,2,2,0,2556,10.0,1008
35,8,1,1,0,0,894,0.0,144
