,customer_id,age,became_member_on,income,F,M,O
1,1,55,15/07/2017,112000.0,1,0,0
3,3,75,09/05/2017,100000.0,1,0,0
5,5,68,26/04/2018,70000.0,0,1,0
8,8,65,09/02/2018,53000.0,0,1,0
12,12,58,11/11/2017,51000.0,0,1,0
13,13,61,11/09/2017,57000.0,1,0,0
14,14,26,13/02/2014,46000.0,0,1,0
15,15,62,11/02/2016,71000.0,1,0,0
16,16,49,13/11/2014,52000.0,0,1,0
18,18,57,31/12/2017,42000.0,0,1,0
19,19,61,01/05/2018,40000.0,1,0,0
20,20,40,04/05/2016,71000.0,1,0,0
21,21,64,09/09/2017,100000.0,0,1,0
22,22,78,16/06/2017,71000.0,1,0,0
24,24,42,11/08/2013,69000.0,0,1,0
25,25,56,28/04/2018,88000.0,1,0,0
27,27,33,26/09/2017,52000.0,1,0,0
28,28,46,11/09/2017,59000.0,1,0,0
29,29,59,21/01/2015,41000.0,0,1,0
30,30,67,23/08/2014,96000.0,0,1,0
31,31,53,16/09/2017,52000.0,0,0,1
32,32,22,25/09/2017,70000.0,0,1,0
33,33,96,17/11/2017,89000.0,1,0,0
34,34,40,09/07/2016,33000.0,0,1,0
35,35,69,14/08/2016,57000.0,1,0,0
37,37,56,11/05/2014,68000.0,0,1,0
38,38,26,12/08/2017,63000.0,1,0,0
40,40,75,12/11/2015,40000.0,0,1,0
41,41,20,11/07/2016,30000.0,1,0,0
42,42,45,07/07/2018,33000.0,0,1,0
43,43,61,21/11/2017,98000.0,0,1,0
46,46,69,18/09/2013,37000.0,1,0,0
47,47,54,07/02/2017,80000.0,1,0,0
48,48,39,27/05/2014,51000.0,0,1,0
49,49,41,21/09/2015,41000.0,1,0,0
50,50,79,15/04/2015,48000.0,1,0,0
51,51,66,08/04/2018,38000.0,1,0,0
52,52,56,26/06/2017,52000.0,1,0,0
53,53,39,23/07/2014,56000.0,1,0,0
55,55,42,17/01/2016,96000.0,0,1,0
58,58,78,09/10/2016,93000.0,1,0,0
59,59,45,06/10/2017,48000.0,0,1,0
60,60,29,30/04/2016,50000.0,0,1,0
61,61,44,24/09/2017,35000.0,0,1,0
62,62,63,13/07/2018,56000.0,0,1,0
63,63,36,28/12/2017,56000.0,0,1,0
64,64,76,14/03/2018,47000.0,1,0,0
65,65,68,23/08/2017,87000.0,0,1,0
66,66,75,29/11/2015,52000.0,0,1,0
67,67,67,26/02/2017,76000.0,0,1,0
68,68,77,30/07/2016,51000.0,0,1,0
69,69,76,31/08/2014,64000.0,0,1,0
70,70,57,07/02/2018,98000.0,0,1,0
71,71,53,06/07/2016,72000.0,1,0,0
72,72,53,31/12/2016,117000.0,1,0,0
73,73,53,26/10/2017,55000.0,1,0,0
74,74,61,10/11/2017,112000.0,1,0,0
75,75,67,10/09/2016,77000.0,1,0,0
76,76,58,25/01/2018,85000.0,1,0,0
77,77,46,29/06/2018,36000.0,1,0,0
78,78,30,02/12/2017,41000.0,0,1,0
79,79,59,20/08/2017,89000.0,0,1,0
81,81,51,31/12/2015,41000.0,0,1,0
82,82,27,10/01/2018,35000.0,0,1,0
83,83,40,27/02/2018,53000.0,0,1,0
85,85,73,19/04/2018,91000.0,1,0,0
86,86,74,24/12/2015,107000.0,1,0,0
87,87,42,21/11/2015,66000.0,0,1,0
88,88,78,11/11/2015,58000.0,0,1,0
89,89,54,25/12/2016,53000.0,1,0,0
90,90,70,13/06/2018,74000.0,1,0,0
91,91,49,08/04/2017,57000.0,1,0,0
92,92,62,10/04/2018,57000.0,1,0,0
93,93,64,05/03/2017,70000.0,0,1,0
94,94,89,14/11/2017,87000.0,1,0,0
95,95,73,01/04/2018,51000.0,0,1,0
97,97,50,06/05/2017,93000.0,1,0,0
98,98,90,10/12/2015,98000.0,1,0,0
99,99,68,31/07/2016,84000.0,1,0,0
